,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
2299,"27.97,77.33",0,zigzag,27.974752365532552,77.3271431255341,haryana,23984628.127111115,14059545.918981472,0.0716493,0.0392043,23984588.003503118,14059523.964573473,23984668.250719115,14059567.873389471,253.596392,36.49928800000001,333.843608,80.408104,27.96587128938302,77.3296849327088,1.0154683962420237
2300,"27.97,77.33",1,zigzag,27.96587128938302,77.3296849327088,haryana,23984865.04071112,14060483.175525472,0.0658377,0.0328888,23984828.17159912,14060464.757797474,23984901.90982312,14060501.593253473,493.764488,977.292512,567.5027120000001,1014.127968,27.965821354649517,77.32155850162505,0.7996019706679806
2301,"28.24,77.40",2,zigzag,28.24166774294279,77.40265954284672,haryana,23991666.76736,14031341.06943243,0.0448665,0.121438,23991641.64212,14031273.06415243,23991691.892600004,14031409.07471243,782.76212,315.54656,833.0125999999999,451.55712000000005,28.2445702138358,77.40321553688051,0.3262569419810837
2302,"28.24,77.40",3,zigzag,28.244275415523443,77.39747643356326,haryana,23991183.66656,14031065.17064843,0.0944651,0.0369801,23991130.766104,14031044.46179243,23991236.567016,14031085.87950443,271.88610400000005,86.9442,377.687016,128.36191200000002,28.245552876165966,77.39776520919803,0.1443812427039743
2303,"28.24,77.40",4,zigzag,28.2445702138358,77.40321553688051,haryana,23991718.58976,14031033.97976843,0.0441078,0.0796013,23991693.889392003,14030989.403040431,23991743.290128,14031078.55649643,835.009392,31.885448000000007,884.410128,121.03890400000002,28.244522925908317,77.40418266218188,0.09505719948164897
2304,"28.24,77.40",5,zigzag,28.24297713307198,77.39935506134037,haryana,23991358.76736,14031202.53327243,0.0439427,0.0942335,23991334.159448,14031149.76251243,23991383.375272,14031255.30403243,475.279448,192.24492,524.495272,297.78644,28.244275415523443,77.39747643356326,0.23386547512927208
2305,"28.24,77.40",6,zigzag,28.24459731080809,77.39617517681124,haryana,23991062.380640004,14031031.11279243,0.0392741,0.0755652,23991040.387144003,14030988.79628043,23991084.374136005,14031073.42930443,181.507144,31.27868800000001,225.494136,115.911712,28.244275415523443,77.39747643356326,0.13259309001145955
2306,"29.63,76.29",0,zigzag,29.634836192377048,76.2895502901077,haryana,23887917.46533333,13882956.10624581,0.0420965,0.0739476,23887893.89129333,13882914.69558981,23887941.03937333,13882997.51690181,494.50996,0.0,541.65804,82.821312,29.63518730704333,76.28953643531797,0.03894288502598732
2307,"28.20,77.44",0,zigzag,28.2037381740699,77.44002547454836,haryana,23995149.524622224,14035353.357938625,0.0802467,0.0423248,23995104.586470224,14035329.656050624,23995194.462774225,14035377.059826626,517.436248,140.941472,607.312552,188.345248,28.21507004486381,77.42439811918261,1.982608889209292
2308,"30.23,77.11",0,zigzag,30.233867185163216,77.10724263248447,haryana,23964131.91560889,13818526.952263154,0.0452273,0.0868406,23964106.58832089,13818478.321527151,23964157.24289689,13818575.582999157,277.667432,94.18158400000002,328.322008,191.443056,30.25177355960874,77.10810267486573,1.9867640768632309
2309,"28.86,76.77",0,zigzag,28.85739782967603,76.77387357330325,haryana,23933059.667200003,13966005.955596063,0.0456026,0.100186,23933034.129744004,13965949.851436064,23933085.204656,13966062.059756065,895.5057439999999,780.8270400000001,946.580656,893.03536,28.873764176623308,76.7696797416687,1.8595159517342557
2310,"29.39,75.67",0,zigzag,29.38767158567289,75.67047077445987,haryana,23830215.07224889,13909428.043317895,0.088673,0.0365284,23830165.415368896,13909407.587413896,23830264.729128893,13909448.499221897,554.22248,788.622016,653.53624,829.533824,29.38830884219847,75.67273383960728,0.23075854894659412
2311,"29.39,75.67",1,zigzag,29.38830884219847,75.67273383960728,haryana,23830426.00520889,13909359.874517895,0.035102,0.0921853,23830406.34808889,13909308.250749895,23830445.66232889,13909411.498285895,795.1552,689.285352,834.46944,792.5328879999998,29.38767158567289,75.67047077445987,0.23075854894659412
2312,"29.28,77.00",0,zigzag,29.27862644328016,76.99797075996399,haryana,23953947.03889778,13921086.577126477,0.0342353,0.0655243,23953927.86712978,13921049.883518474,23953966.210665777,13921123.270734476,351.689352,670.0823919999999,390.032888,743.4696080000001,29.288371646293605,76.9997928390503,1.0945775286094022
2313,"29.90,76.68",0,zigzag,29.904590004419376,76.67850848922734,haryana,23924170.997120004,13853990.548677204,0.0559762,0.0920908,23924139.65044801,13853938.977829205,23924202.343792003,13854042.119525203,389.634448,14.911008000000002,452.327792,118.052704,29.90616047973945,76.68951716117861,1.077350532879508
