,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
2242,"22.70,87.00",1,fcbk,22.70078787684368,86.99783904933928,west_bengal,24886002.31813333,14603715.384855645,0.0675012,0.0435728,24885964.517461333,14603690.984087644,24886040.11880533,14603739.785623644,320.78412799999995,455.997472,396.385472,504.799008,22.696788894664763,87.00359527587884,0.7388635700589598
2243,"24.13,88.38",0,zigzag,24.13515425300872,88.38319113178255,west_bengal,25015126.491040003,14458016.753049096,0.0443295,0.0599656,25015101.666520003,14457983.172313096,25015151.31556,14458050.333785096,832.6105200000001,0.0,882.25956,67.161472,24.13928532428477,88.38425334835053,0.4701240073420441
2244,"23.24,86.87",0,fcbk,23.236636757012224,86.86742130279536,west_bengal,24873846.50311111,14549469.700021105,0.0625417,0.0439619,24873811.47975911,14549445.081357105,24873881.52646311,14549494.318685103,284.624648,876.535576,354.671352,925.772904,23.2727002755625,86.90544916210172,5.576226358443202
2245,"23.71,88.41",0,zigzag,23.71370887460396,88.4078279943466,west_bengal,25017422.81306667,14500990.707031509,0.0408826,0.0622927,25017399.91881067,14500955.823119506,25017445.70732267,14501025.590943508,334.660144,147.549528,380.448656,217.317352,23.708478740447788,88.40483586235047,0.6547100194604688
2246,"22.72,86.88",0,fcbk,22.722484449467565,86.8793614780426,west_bengal,24874959.408106662,14601523.12955843,0.0724939,0.0491551,24874918.811522663,14601495.60270243,24875000.004690666,14601550.656414429,459.888856,281.422904,541.0820239999999,336.476616,22.71929800118136,86.8943995274925,1.5846774048713317
2247,"23.60,86.73",0,fcbk,23.602180679002043,86.72691057415011,west_bengal,24860749.95397333,14512339.688758405,0.0597532,0.0259259,24860716.49218133,14512325.170254406,24860783.41576533,14512354.207262404,238.582848,323.674456,305.506432,352.711464,23.56748604224295,86.78246443424221,6.849934556873854
2248,"22.68,88.91",0,fcbk,22.676517073482017,88.90579594249722,west_bengal,25063836.789884444,14606167.332941417,0.0368388,0.0949049,25063816.160156444,14606114.186197417,25063857.419612445,14606220.479685416,147.523712,858.6878160000001,188.783168,964.981304,22.672839198236478,88.90952441902161,0.5591919264335312
2249,"22.73,87.85",0,zigzag,22.73111666931072,87.85065240077967,west_bengal,24965490.283715557,14600650.82004164,0.0577735,0.0334403,24965457.930555552,14600632.09347364,24965522.636875555,14600669.54660964,588.455,428.427832,653.16132,465.880968,22.724828093689972,87.84307851505281,1.0441832762168266
2250,"25.54,88.15",0,zigzag,25.543392266452667,88.14999334297178,west_bengal,24993390.881742224,14313373.779543163,0.0628983,0.0359616,24993355.658694223,14313353.641047165,24993426.104790226,14313393.918039164,524.156472,189.432544,594.602568,229.709536,25.53449724671536,88.17077448635101,2.3093987275233716
2251,"23.76,87.15",0,fcbk,23.758610782321963,87.15198411884312,west_bengal,24900369.67994667,14496418.802581556,0.0412521,0.058916,24900346.578770667,14496385.809621556,24900392.78112267,14496451.795541557,721.8321040000001,668.48208,768.034456,734.468,23.783754658433192,87.16611228351599,3.13512893375061
2252,"25.18,88.05",0,zigzag,25.18265418639704,88.04653480052943,west_bengal,24983747.846666664,14350583.676412974,0.031171,0.0622192,24983730.390906665,14350548.833660971,24983765.302426662,14350618.519164974,219.56424,251.789888,254.47576,321.475392,25.19028718132958,88.04465308246616,0.8665624349878897
2253,"25.34,88.05",0,zigzag,25.3369587435552,88.05311420345302,west_bengal,24984361.091466665,14334680.848328058,0.0388317,0.0702506,24984339.345714662,14334641.507992055,24984382.837218665,14334720.188664058,828.519048,834.298864,872.010552,912.979536,25.34191134714284,88.02398358249661,2.9834872204163654
2254,"22.53,88.71",0,zigzag,22.5253871838244,88.70626483039851,west_bengal,25045239.14229333,14621425.428402686,0.0603033,0.0773621,25045205.37244533,14621382.105626687,25045272.91214133,14621468.751178686,178.087112,982.140264,245.626808,1068.7858159999998,22.521989095382025,88.69660264453888,1.0628737191426938
2255,"22.68,88.90",1,fcbk,22.679107606770643,88.89830250587463,west_bengal,25063138.35096889,14605905.646061417,0.0371688,0.087227,25063117.53644089,14605856.798941417,25063159.16549689,14605954.493181417,380.967552,601.30056,422.596608,698.9948,22.67964011196595,88.90071328735351,0.25466087630274686
2256,"22.68,88.90",2,zigzag,22.67964011196595,88.90071328735351,west_bengal,25063363.05208889,14605851.853581415,0.0291155,0.0733385,25063346.74740889,14605810.784021417,25063379.35676889,14605892.923141418,610.1785199999999,555.2856400000001,642.78788,637.42476,22.679107606770643,88.89830250587463,0.25466087630274686
2257,"22.34,88.05",0,zigzag,22.343545340006912,88.0506193799972,west_bengal,24984128.557066664,14639762.10785821,0.0523032,0.0535334,24984099.267274663,14639732.12915421,24984157.846858665,14639792.08656221,588.4406079999999,172.752496,647.020192,232.709904,22.33459243042655,88.05216030178065,1.0040270666996025
2258,"23.25,88.61",0,zigzag,23.24714143776303,88.60817425594328,west_bengal,25036096.43809778,14548404.117692605,0.0365811,0.0629555,25036075.95268178,14548368.862612603,25036116.923513778,14548439.372772604,369.342904,814.7286,410.313736,885.23876,23.19982665484892,88.57476861404416,6.25684116044437
2259,"23.61,87.44",0,fcbk,23.6122588396704,87.44057977428439,west_bengal,24927268.74465778,14511314.544072151,0.0452225,0.0655938,24927243.42005778,14511277.811544154,24927294.06925778,14511351.276600152,588.71428,293.492752,639.36348,366.957808,23.624733188629268,87.43098540840151,1.6933304824415312
2260,"22.41,88.57",0,zigzag,22.413438970326776,88.57091179656977,west_bengal,25032623.325155552,14632716.972741008,0.0710641,0.0517556,25032583.52925955,14632687.989605008,25032663.121051557,14632745.955877008,605.1897039999999,184.292864,684.781496,242.259136,22.42949049977384,88.59115601577763,2.7392426265575818
2261,"22.55,88.89",0,zigzag,22.5551112680776,88.89108430252081,west_bengal,25062465.56565334,14618425.802946666,0.0775067,0.0401221,25062422.16190134,14618403.334570669,25062508.96940534,14618448.271322666,617.660568,21.678664,704.468072,66.61541600000001,22.557731808829665,88.88905664863591,0.35736043358068137
2262,"22.85,87.84",0,zigzag,22.851194616986483,87.84541757125862,west_bengal,24965002.362240005,14588510.89166464,0.0605593,0.0275268,24964968.449032005,14588495.47665664,24965036.27544801,14588526.306672638,1031.041032,423.756032,1098.867448,454.586048,22.850073261019585,87.84762058105466,0.2579628393189402
2263,"23.06,87.61",0,zigzag,23.05609498233443,87.60861027927398,west_bengal,24942930.322862223,14567770.57528877,0.0249147,0.0557256,24942916.370630223,14567739.368952772,24942944.275094222,14567801.78162477,416.516408,924.370944,444.420872,986.783616,23.05309994824644,87.60731375694279,0.3573076478435074
2264,"23.20,87.86",0,zigzag,23.19605746050324,87.85771295032505,west_bengal,24966148.374631114,14553585.228213094,0.0679041,0.0277169,24966110.348335117,14553569.706749097,24966186.400927115,14553600.749677094,308.80522399999995,944.273736,384.857816,975.316664,23.195070791689147,87.86060329017641,0.3154277573572025
2265,"23.22,87.78",0,zigzag,23.218045714910783,87.7767701757431,west_bengal,24958603.96122667,14551355.347680943,0.0224428,0.0571575,24958591.39325867,14551323.339480946,24958616.529194668,14551387.355880944,246.390592,726.1981999999999,271.526528,790.2145999999999,23.215142932417105,87.77690020408627,0.3217499867649316
