,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_hospital_long,closest_hospital_lat,dist,distance_km
354,"26.68,89.17",0,fcbk,26.678234571650517,89.1641662214851,west_bengal,25087918.64532089,14195574.15427519,0.0290222,0.076644,25087902.39288889,14195531.23363519,25087934.89775289,14195617.07491519,0.0,701.2353600000001,32.504864000000005,787.07664,89.14827778,26.67647222,0.01598588302739702,1.593490443577612
355,"24.21,88.37",0,zigzag,24.209535877585356,88.36619034137729,west_bengal,25013541.902524445,14450417.5698795,0.0424191,0.0652342,25013518.147828445,14450381.0387275,25013565.65722045,14450454.1010315,181.159384,570.899728,228.668776,643.9620319999999,88.36527777,24.21111111,0.0018204789696084555,0.19757405401861314
356,"24.64,87.95",0,zigzag,24.636156019209263,87.95527835044861,west_bengal,24975242.12903111,14406745.757709686,0.0390363,0.0691755,24975220.26870311,14406707.019429686,24975263.98935911,14406784.495989686,1030.117592,915.43228,1073.838248,992.90884,87.96633,24.64389,0.013489010959971128,1.4091889424423494
357,"24.64,87.95",1,zigzag,24.641845874371185,87.95411588191986,west_bengal,24975133.77911111,14406162.302669683,0.0468035,0.0687426,24975107.56915111,14406123.806813683,24975159.98907111,14406200.798525684,917.41804,332.219664,969.83796,409.211376,87.96633,24.64389,0.012383986840348431,1.2571154637095652
358,"25.55,88.34",0,zigzag,25.54985516129697,88.335648358345,west_bengal,25010695.183377776,14312706.120135518,0.0432303,0.0633778,25010670.974409778,14312670.62856752,25010719.39234577,14312741.611703517,130.188632,539.471632,178.606568,610.4547680000001,88.33918461,25.55058287,0.003610351191227779,0.3644078073648778
359,"23.09,87.55",0,fcbk,23.08613616713671,87.54575371723176,west_bengal,24937071.66664889,14564727.115426747,0.0557338,0.0401487,24937040.45572089,14564704.632154748,24937102.87757689,14564749.598698746,133.006832,929.009368,195.428688,973.975912,87.555617,23.071817,0.017387434959052615,1.8804369214828731
360,"23.70,88.28",0,fcbk,23.70262730561509,88.28328512325284,west_bengal,25005814.576124445,14502118.788218977,0.0287614,0.0571398,25005798.469740443,14502086.789930977,25005830.682508446,14502150.786506975,850.089296,260.561392,882.302064,324.557968,88.297367,23.696433,0.015384039611727985,1.5916092850854342
361,"23.70,88.28",1,zigzag,23.698996809188888,88.28225835475921,west_bengal,25005718.874364443,14502488.344538976,0.0299417,0.0667389,25005702.107012443,14502450.970754975,25005735.641716443,14502525.718322976,753.726568,624.742216,787.261272,699.489784,88.297367,23.696433,0.015324629802020553,1.5668454550240736
362,"23.70,88.28",2,zigzag,23.70081715882228,88.28326189575192,west_bengal,25005812.411164444,14502303.048378976,0.0322399,0.056485,25005794.35682045,14502271.416778976,25005830.46550844,14502334.679978976,845.9763760000001,445.18824,882.085064,508.45144,88.297367,23.696433,0.014770741837430098,1.5182799081536622
363,"24.29,88.54",0,zigzag,24.28476384797797,88.53487127527237,west_bengal,25029264.105096888,14442727.406973137,0.0674875,0.0365895,25029226.312096886,14442706.916853135,25029301.89809689,14442747.897093134,44.175208,1074.9438,119.761208,1115.92404,88.529943,24.270616,0.014981638747744887,1.6449974627169284
364,"22.62,88.63",0,zigzag,22.62042072830154,88.63504801006312,west_bengal,25038601.25352889,14611832.783971667,0.0606297,0.0327124,25038567.300896887,14611814.465027668,25038635.206160884,14611851.102915669,996.556008,499.198336,1064.461272,535.836224,88.630166,22.61852,0.005238968441650613,0.5442566489972759
365,"22.62,88.63",1,zigzag,22.62347951335048,88.63525650482177,west_bengal,25038620.686648887,14611523.921571668,0.0445227,0.039073,25038595.753936887,14611502.040691668,25038645.619360887,14611545.802451668,1025.009048,186.774,1074.874472,230.53576,88.630166,22.61852,0.007107039609710263,0.7586261826818851
366,"24.44,88.19",0,zigzag,24.43935641212632,88.19161348819733,west_bengal,24997270.16044445,14426909.890492212,0.0324365,0.0591823,24997251.996004447,14426876.748404212,24997288.324884444,14426943.032580212,692.22356,592.7486319999999,728.55244,659.0328079999999,88.1875,24.43888889,0.004139971266590929,0.4203244360561078
367,"23.04,86.41",0,fcbk,23.03927781454247,86.40972108974452,west_bengal,24831185.751235552,14569474.01894949,0.0280338,0.0684376,24831170.052307557,14569435.69389349,24831201.45016355,14569512.34400549,518.304752,594.822144,549.702608,671.472256,86.397567,23.042533,0.012582453253675603,1.2968058320100018
368,"22.22,88.60",0,fcbk,22.22113710779105,88.59773188800807,west_bengal,25035123.13886222,14652092.10764145,0.0264081,0.06066,25035108.350326218,14652058.13804145,25035137.92739822,14652126.077241449,333.808104,411.54176,363.385176,479.48096,88.6035,22.221267,0.005769574328956467,0.5948734077206258
369,"22.22,88.60",1,fcbk,22.222136683133623,88.59507343984605,west_bengal,25034875.35353422,14651991.465561448,0.0756581,0.0525103,25034832.984998222,14651962.059793448,25034917.72207022,14652020.871329447,58.442776,315.463512,143.17984800000002,374.275048,88.6035,22.221267,0.008471320132130762,0.8741068946771192
370,"23.58,88.24",0,zigzag,23.581720323949146,88.23588302459719,west_bengal,25001396.380302224,14514420.661978584,0.0422071,0.0550195,25001372.744326223,14514389.851058584,25001420.016278222,14514451.472898584,152.634104,354.23388,199.906056,415.85572,88.2311,23.5752,0.008086528841172948,0.8717095823979645
371,"23.77,87.27",0,fcbk,23.771599190674596,87.2705498056412,west_bengal,24911420.80293333,14495096.031127982,0.0745549,0.0322501,24911379.05218933,14495077.971071985,24911462.55367733,14495114.09118398,569.4948559999999,379.067304,652.996344,415.187416,87.266014,23.786915,0.015973338665002182,1.7581737313950851
372,"23.77,87.27",1,fcbk,23.77048094033617,87.27221817226412,west_bengal,24911576.305973336,14495209.921687985,0.0748692,0.036607,24911534.37922133,14495189.421767984,24911618.232725337,14495230.421607982,724.8218880000001,490.518,808.675392,531.51784,87.266014,23.786915,0.01756616265771177,1.9268739683775302
373,"24.15,88.42",0,zigzag,24.151882026839356,88.42146478652954,west_bengal,25018693.854222223,14456308.14930557,0.0338342,0.0657919,25018674.907070223,14456271.30584157,25018712.801374223,14456344.992769573,677.580848,330.911896,715.475152,404.598824,88.42341666,24.159,0.007380741965433977,0.812962765106295
374,"23.56,88.25",0,zigzag,23.556896676092737,88.24764575519562,west_bengal,25002492.74625778,14516944.979707614,0.0616352,0.023657,25002458.230545778,14516931.731787613,25002527.26196978,14516958.227627616,306.052768,862.30312,375.084192,888.7989600000001,88.2501,23.540533,0.016546697943332075,1.829547998612124
375,"23.56,88.25",1,zigzag,23.56227178331289,88.24894730033876,west_bengal,25002614.05905778,14516398.425307617,0.0242934,0.0592821,25002600.45475378,14516365.227331614,25002627.66336178,14516431.623283615,448.276976,295.798664,475.485584,362.194616,88.26765,23.557067,0.019413416596595543,1.9945649291799603
